all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,7605,13251,112,157,62,5315


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
original sentence,"She was described by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole new expressive identity . """
wrong word,whole 27
mutation sentence,"She was described by The Guardian of London as the ' Queen of the curve ' , who "" liberated architectural geometry , giving it a whole expressive identity . """

original sentence,How much more could you accomplish as an individual if you could learn any activity ?
wrong word,much 2
mutation sentence,much more could you accomplish as an individual if you could learn any activity ?

original sentence,you 've kept it up this long
wrong word,long 7
mutation sentence,you 've kept it up long

original sentence,"Unlike most other large Polish cities , which have long histories , Łódź was created almost from scratch during the 19th century textile industry boom to house textile mills , their owners and their workers , and rapidly grew to become an important industrial and commerce centre ."
wrong word,most 2
mutation sentence,"Unlike most large Polish cities , which have long histories , Łódź was created almost from scratch during the 19th century textile industry boom to house textile mills , their owners and their workers , and rapidly grew to become an important industrial and commerce centre ."

original sentence,You should fit them to where the drawstring is tied slightly loose .
wrong word,loose 12
mutation sentence,You should fit them to where the drawstring is tied loose .



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"


"pos from 形容 to 名词
"
original sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
wrong word,6th 34
mutation sentence,"experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes , 3 days per week , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days , from the 6th to the 12th week ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th ."
mutation sentence,"In Carrano & Biewener 's study , experimental chickens were housed individually in smaller cages and were only allowed to exercise 20 minutes per day , 3 days per week , from the 6th to the week ."

original sentence,He was a contemporary and close friend of Leonhard Euler .
wrong word,contemporary 4
mutation sentence,He was a contemporary and friend of Leonhard Euler .

original sentence,Pursuant to your business question : we only hire nice people .
wrong word,Pursuant 1
mutation sentence,Pursuant : we only hire nice people .

original sentence,"wikiHow is a collaborative effort to build the world 's largest , highest quality how-to manual ."
wrong word,quality 14
mutation sentence,"wikiHow is a collaborative effort to build the world 's largest , highest quality manual ."

original sentence,""" As a way to commercialize his work , he would make a blue Marilyn and a pink Marilyn and a yellow Marilyn , and then you could pick your favorite color and buy that ."
wrong word,pink 18
mutation sentence,""" As a way to commercialize his work , he would make a blue Marilyn and a pink Marilyn and a Marilyn , and then you could pick your favorite color and buy that ."

original sentence,One of the more interesting of the many highrise residential buildings in Fort Lee
wrong word,highrise 9
mutation sentence,One of the more interesting of the many highrise buildings in Fort Lee

original sentence,"From the south , the quickest route is probably to take the M1 northbound to junction 32 , then the M18 eastbound to junction 2 , the A1M northbound to junction 44 and finally the A64 eastbound to the York Outer Ring Road ( A1237 ) ."
wrong word,northbound 14
mutation sentence,"From the south , the quickest route is probably to take the M1 northbound , then the M18 eastbound to junction 2 , the A1M northbound to junction 44 and finally the A64 eastbound to the York Outer Ring Road ( A1237 ) ."
wrong word,eastbound 22
mutation sentence,"From the south , the quickest route is probably to take the M1 northbound to junction 32 , the M18 eastbound to junction 2 , the A1M northbound to junction 44 and finally the A64 eastbound to the York Outer Ring Road ( A1237 ) ."
mutation sentence,"From the south , the quickest route is probably to take the M1 northbound to junction 32 , then the M18 eastbound , the A1M northbound to junction 44 and finally the A64 eastbound to the York Outer Ring Road ( A1237 ) ."
wrong word,northbound 29
mutation sentence,"From the south , the quickest route is probably to take the M1 northbound to junction 32 , then the M18 eastbound to junction 2 , the A1M northbound and finally the A64 eastbound to the York Outer Ring Road ( A1237 ) ."
wrong word,eastbound 37
mutation sentence,"From the south , the quickest route is probably to take the M1 northbound to junction 32 , then the M18 eastbound to junction 2 , the A1M northbound to junction 44 and finally the A64 eastbound ."



"pos from 形容 to 数字
"


"pos from 形容 to 功能
"


"pos from 形容 to 代词
"


"pos from 形容 to 特指名词
"
original sentence,It owns the title of the longest-running North American sci-fi series in history . [ 10 ]
wrong word,North 8
mutation sentence,It owns the title of the North American sci-fi series in history . [ 10 ]

original sentence,Santa had spent his day opening envelopes from North American children and falling asleep watching the Pittsburgh - Cleveland game in the media room .
