all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
10119,4878,17479,129,974,106,17510


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"
original sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier too .
wrong word,about 19
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get much busier .
mutation sentence,Jared just told me you have a BUNCH of stuff on your plate and I think you are about to get busier too .



"pos from 形容 to 副词
"
original sentence,spreadsheet recalculation of OBSF option premium utilising the above manually created position analysis
wrong word,above 9
mutation sentence,spreadsheet recalculation of OBSF option premium utilising the above created position analysis

original sentence,"He was prompt , knowledgable , friendly , clean and just an overall great guy who obviously cares about his business ."
wrong word,overall 13
mutation sentence,"He was prompt , knowledgable , friendly , clean and an overall great guy who obviously cares about his business ."



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"


"pos from 形容 to 名词
"
original sentence,"The inability to foresee in advance the assassination attempt on the pro-India political leader and former Bangladeshi prime minister Sheikh Hasina Wazed last August 21 at a political rally in Dhaka , and the recent "" coup "" by Nepalese King Gyanendra dismissing his government and imposing a virtual absolute monarchy , are glaring examples of intelligence failure ."
wrong word,prime 18
mutation sentence,"The inability to foresee in advance the assassination attempt on the pro-India political leader and former prime minister Sheikh Hasina Wazed last August 21 at a political rally in Dhaka , and the recent "" coup "" by Nepalese King Gyanendra dismissing his government and imposing a virtual absolute monarchy , are glaring examples of intelligence failure ."

original sentence,"But succintly making point after succint point , the text of the letter stands on its own merit , regardless ."
wrong word,succint 6
mutation sentence,"But making point after succint point , the text of the letter stands on its own merit , regardless ."

original sentence,It has nothing to do with true fanatic religious beliefs .
wrong word,fanatic 8
mutation sentence,It has nothing to do with true fanatic beliefs .

original sentence,"Bullet - proof vests , automatic weapons , helicopters , tanks , robots ... the testosterone is oozing through the streets , more prisons , longer sentences , tighten the belt , spartan conditions , task forces , gang units , gun courts ."
wrong word,proof 3
mutation sentence,"- proof vests , automatic weapons , helicopters , tanks , robots ... the testosterone is oozing through the streets , more prisons , longer sentences , tighten the belt , spartan conditions , task forces , gang units , gun courts ."

original sentence,"The most fundamental human right , after the necessities of food , clothing and shelter , is the right to affection and the supportive love of other human beings ."
wrong word,human 4
mutation sentence,"The fundamental human right , after the necessities of food , clothing and shelter , is the right to affection and the supportive love of other human beings ."

original sentence,i have a 1 and a half year old male neutered cat and a new 2 month old spayed female kitten .
wrong word,male 10
mutation sentence,i have a 1 and a half year old male neutered cat and a new 2 month old spayed kitten .

original sentence,"As a qualified criminal defense attorney , he will work every possible legal "" angle "" ( leaving no stone unturned ) of your case to achieve the most favorable result possible ."
wrong word,criminal 4
mutation sentence,"As a qualified criminal defense attorney , he will work every possible "" angle "" ( leaving no stone unturned ) of your case to achieve the most favorable result possible ."

original sentence,Other shops around this city have MUCH NICER and more TRANSPARENT owners .
wrong word,TRANSPARENT 11
mutation sentence,Other shops around this city have MUCH NICER and TRANSPARENT owners .



