all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,167271,281097,234,295,381,117131


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
original sentence,Kiss anywhere you like and see how long your partner can keep from moving or making any noise .
wrong word,long 8
mutation sentence,Kiss anywhere you like and see how long your new partner can keep from moving or making any noise .
mutation sentence,Kiss anywhere you like and see how long your current partner can keep from moving or making any noise .
mutation sentence,Kiss anywhere you like and see how long your little partner can keep from moving or making any noise .

original sentence,“ I do n’t know how long we ’ll be . ”
wrong word,long 7
mutation sentence,“ I do n’t know how long we all ’ll be . ”

original sentence,Then in 2006 we ended up fourth .
wrong word,fourth 7
mutation sentence,Then in 2006 we ended it up fourth .
mutation sentence,Then in 2006 we ended right up fourth .
mutation sentence,Then in 2006 we ended well up fourth .
mutation sentence,Then in 2006 we ended just up fourth .
mutation sentence,Then in 2006 we ended again up fourth .
mutation sentence,Then in 2006 we ended only up fourth .



"pos from 形容 to 助词
"


"pos from 形容 to 并列连词
"


"pos from 形容 to 定冠
"


"pos from 形容 to 感叹
"
original sentence,“ Sorry ! ” I say .
wrong word,Sorry 2
mutation sentence,“ Sorry ! ? ” I say .
mutation sentence,“ Sorry ! ” I almost say .
mutation sentence,“ Sorry ! ” I say again .
mutation sentence,“ Sorry ! ” I say quickly .
mutation sentence,“ Sorry ! ” I say loudly .
mutation sentence,“ Sorry ! ” I say angrily .
mutation sentence,“ Sorry ! ” I say sarcastically .
mutation sentence,“ Sorry ! ” I say weakly .
mutation sentence,“ Sorry ! ” I say quietly .
mutation sentence,“ Sorry ! ” I say sharply .
mutation sentence,“ Sorry ! ” I say automatically .
mutation sentence,“ Sorry ! ” I say softly .



"pos from 形容 to 名词
"
original sentence,"He also designed furniture and houses for the wealthy as well as coins and medals , including the insignia of the Society of the Cincinnati ."
wrong word,wealthy 9
mutation sentence,"He also designed furniture and houses for the wealthy as well as designed coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as striking coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as issued coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as silver coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as struck coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as engraved coins and medals , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as coins and medals himself , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as coins and medals themselves , including the insignia of the Society of the Cincinnati ."
mutation sentence,"He also designed furniture and houses for the wealthy as well as coins and medals , including the insignia of the Society of the Cincinnati ) ."



"pos from 形容 to 数字
"


"pos from 形容 to 功能
"


"pos from 形容 to 代词
"


"pos from 形容 to 特指名词
"
original sentence,His textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
wrong word,American 17
mutation sentence,His 1952 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1930 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1931 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1965 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1964 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1932 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1928 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1934 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1929 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His 1962 textbook Morphology : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology II : The Descriptive Analysis of Words was one of the major works of American Structuralism .
mutation sentence,His textbook Morphology III : The Descriptive Analysis of Words was one of the major works of American Structuralism .
